team_abbr,primary_color,secondary_color
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ANA,#F47A38,#B9975B
ATL,#5C88DA,#FFA300
ATL,#5C88DA,#FFA300
ATL,#5C88DA,#FFA300
ATL,#5C88DA,#FFA300
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BOS,#FFB81C,#FFFFFF
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
BUF,#003087,#FFB81C
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CGY,#D2001C,#FAAF19
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CAR,#CE1126,#A4A9AD
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
CHI,#CF0A2C,#FFFFFF
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
COL,#6F263D,#236192
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
CBJ,#002654,#CE1126
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DAL,#006847,#8F8F8C
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
DET,#CE1126,#FFFFFF
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
EDM,#041E42,#FF4C00
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
FLA,#C8102E,#B9975B
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
LAK,#A2AAAD,#FFFFFF
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MIN,#154734,#A6192E
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
MTL,#AF1E2D,#192168
NSH,#FFB81C,#041E42
NSH,#FFB81C,#041E42
NSH,#FFB81C,#041E42
NSH,#FFB81C,#041E42
NSH,#FFB81C,#041E42
NSH,#FFB81C,#041E42
NSH,#FFB81C,#041E42
NSH,#FFB81C,#041E42
NSH,#FFB81C,#041E42
NSH,#FFB81C,#041E42
NSH,#FFB81C,#041E42
NSH,#FFB81C,#041E42
NSH,#FFB81C,#041E42
NSH,#FFB81C,#041E42
NSH,#FFB81C,#041E42
NSH,#FFB81C,#041E42
NSH,#FFB81C,#041E42
NSH,#FFB81C,#041E42
NSH,#FFB81C,#041E42
NJD,#CE1126,#FFFFFF
NJD,#CE1126,#FFFFFF
NJD,#CE1126,#FFFFFF
NJD,#CE1126,#FFFFFF
NJD,#CE1126,#FFFFFF
NJD,#CE1126,#FFFFFF
NJD,#CE1126,#FFFFFF
NJD,#CE1126,#FFFFFF
NJD,#CE1126,#FFFFFF
NJD,#CE1126,#FFFFFF
NJD,#CE1126,#FFFFFF
NJD,#CE1126,#FFFFFF
NJD,#CE1126,#FFFFFF
NJD,#CE1126,#FFFFFF
NJD,#CE1126,#FFFFFF
NJD,#CE1126,#FFFFFF
NJD,#CE1126,#FFFFFF
NJD,#CE1126,#FFFFFF
NJD,#CE1126,#FFFFFF
NYI,#00539B,#F47D30
NYI,#00539B,#F47D30
NYI,#00539B,#F47D30
NYI,#00539B,#F47D30
NYI,#00539B,#F47D30
NYI,#00539B,#F47D30
NYI,#00539B,#F47D30
NYI,#00539B,#F47D30
NYI,#00539B,#F47D30
NYI,#00539B,#F47D30
NYI,#00539B,#F47D30
NYI,#00539B,#F47D30
NYI,#00539B,#F47D30
NYI,#00539B,#F47D30
NYI,#00539B,#F47D30
NYI,#00539B,#F47D30
NYI,#00539B,#F47D30
NYI,#00539B,#F47D30
NYI,#00539B,#F47D30
NYR,#0038A8,#CE1126
NYR,#0038A8,#CE1126
NYR,#0038A8,#CE1126
NYR,#0038A8,#CE1126
NYR,#0038A8,#CE1126
NYR,#0038A8,#CE1126
NYR,#0038A8,#CE1126
NYR,#0038A8,#CE1126
NYR,#0038A8,#CE1126
NYR,#0038A8,#CE1126
NYR,#0038A8,#CE1126
NYR,#0038A8,#CE1126
NYR,#0038A8,#CE1126
NYR,#0038A8,#CE1126
NYR,#0038A8,#CE1126
NYR,#0038A8,#CE1126
NYR,#0038A8,#CE1126
NYR,#0038A8,#CE1126
NYR,#0038A8,#CE1126
OTT,#DA1A32,#B79257
OTT,#DA1A32,#B79257
OTT,#DA1A32,#B79257
OTT,#DA1A32,#B79257
OTT,#DA1A32,#B79257
OTT,#DA1A32,#B79257
OTT,#DA1A32,#B79257
OTT,#DA1A32,#B79257
OTT,#DA1A32,#B79257
OTT,#DA1A32,#B79257
OTT,#DA1A32,#B79257
OTT,#DA1A32,#B79257
OTT,#DA1A32,#B79257
OTT,#DA1A32,#B79257
OTT,#DA1A32,#B79257
OTT,#DA1A32,#B79257
OTT,#DA1A32,#B79257
OTT,#DA1A32,#B79257
OTT,#DA1A32,#B79257
PHI,#F74902,#FFFFFF
PHI,#F74902,#FFFFFF
PHI,#F74902,#FFFFFF
PHI,#F74902,#FFFFFF
PHI,#F74902,#FFFFFF
PHI,#F74902,#FFFFFF
PHI,#F74902,#FFFFFF
PHI,#F74902,#FFFFFF
PHI,#F74902,#FFFFFF
PHI,#F74902,#FFFFFF
PHI,#F74902,#FFFFFF
PHI,#F74902,#FFFFFF
PHI,#F74902,#FFFFFF
PHI,#F74902,#FFFFFF
PHI,#F74902,#FFFFFF
PHI,#F74902,#FFFFFF
PHI,#F74902,#FFFFFF
PHI,#F74902,#FFFFFF
PHI,#F74902,#FFFFFF
PHX,#8C2633,#E2D6B5
PHX,#8C2633,#E2D6B5
PHX,#8C2633,#E2D6B5
PHX,#8C2633,#E2D6B5
PHX,#8C2633,#E2D6B5
PHX,#8C2633,#E2D6B5
PHX,#8C2633,#E2D6B5
PIT,#FCB514,#FFFFFF
PIT,#FCB514,#FFFFFF
PIT,#FCB514,#FFFFFF
PIT,#FCB514,#FFFFFF
PIT,#FCB514,#FFFFFF
PIT,#FCB514,#FFFFFF
PIT,#FCB514,#FFFFFF
PIT,#FCB514,#FFFFFF
PIT,#FCB514,#FFFFFF
PIT,#FCB514,#FFFFFF
PIT,#FCB514,#FFFFFF
PIT,#FCB514,#FFFFFF
PIT,#FCB514,#FFFFFF
PIT,#FCB514,#FFFFFF
PIT,#FCB514,#FFFFFF
PIT,#FCB514,#FFFFFF
PIT,#FCB514,#FFFFFF
PIT,#FCB514,#FFFFFF
PIT,#FCB514,#FFFFFF
SJS,#006D75,#FFFFFF
SJS,#006D75,#FFFFFF
SJS,#006D75,#FFFFFF
SJS,#006D75,#FFFFFF
SJS,#006D75,#FFFFFF
SJS,#006D75,#FFFFFF
SJS,#006D75,#FFFFFF
SJS,#006D75,#FFFFFF
SJS,#006D75,#FFFFFF
SJS,#006D75,#FFFFFF
SJS,#006D75,#FFFFFF
SJS,#006D75,#FFFFFF
SJS,#006D75,#FFFFFF
SJS,#006D75,#FFFFFF
SJS,#006D75,#FFFFFF
SJS,#006D75,#FFFFFF
SJS,#006D75,#FFFFFF
SJS,#006D75,#FFFFFF
SJS,#006D75,#FFFFFF
STL,#002F87,#FCB514
STL,#002F87,#FCB514
STL,#002F87,#FCB514
STL,#002F87,#FCB514
STL,#002F87,#FCB514
STL,#002F87,#FCB514
STL,#002F87,#FCB514
STL,#002F87,#FCB514
STL,#002F87,#FCB514
STL,#002F87,#FCB514
STL,#002F87,#FCB514
STL,#002F87,#FCB514
STL,#002F87,#FCB514
STL,#002F87,#FCB514
STL,#002F87,#FCB514
STL,#002F87,#FCB514
STL,#002F87,#FCB514
STL,#002F87,#FCB514
STL,#002F87,#FCB514
TBL,#002868,#FFFFFF
TBL,#002868,#FFFFFF
TBL,#002868,#FFFFFF
TBL,#002868,#FFFFFF
TBL,#002868,#FFFFFF
TBL,#002868,#FFFFFF
TBL,#002868,#FFFFFF
TBL,#002868,#FFFFFF
TBL,#002868,#FFFFFF
TBL,#002868,#FFFFFF
TBL,#002868,#FFFFFF
TBL,#002868,#FFFFFF
TBL,#002868,#FFFFFF
TBL,#002868,#FFFFFF
TBL,#002868,#FFFFFF
TBL,#002868,#FFFFFF
TBL,#002868,#FFFFFF
TBL,#002868,#FFFFFF
TBL,#002868,#FFFFFF
TOR,#00205B,#FFFFFF
TOR,#00205B,#FFFFFF
TOR,#00205B,#FFFFFF
TOR,#00205B,#FFFFFF
TOR,#00205B,#FFFFFF
TOR,#00205B,#FFFFFF
TOR,#00205B,#FFFFFF
TOR,#00205B,#FFFFFF
TOR,#00205B,#FFFFFF
TOR,#00205B,#FFFFFF
TOR,#00205B,#FFFFFF
TOR,#00205B,#FFFFFF
TOR,#00205B,#FFFFFF
TOR,#00205B,#FFFFFF
TOR,#00205B,#FFFFFF
TOR,#00205B,#FFFFFF
TOR,#00205B,#FFFFFF
TOR,#00205B,#FFFFFF
TOR,#00205B,#FFFFFF
VAN,#00205B,#00843D
VAN,#00205B,#00843D
VAN,#00205B,#00843D
VAN,#00205B,#00843D
VAN,#00205B,#00843D
VAN,#00205B,#00843D
VAN,#00205B,#00843D
VAN,#00205B,#00843D
VAN,#00205B,#00843D
VAN,#00205B,#00843D
VAN,#00205B,#00843D
VAN,#00205B,#00843D
VAN,#00205B,#00843D
VAN,#00205B,#00843D
VAN,#00205B,#00843D
VAN,#00205B,#00843D
VAN,#00205B,#00843D
VAN,#00205B,#00843D
VAN,#00205B,#00843D
WSH,#C8102E,#041E42
WSH,#C8102E,#041E42
WSH,#C8102E,#041E42
WSH,#C8102E,#041E42
WSH,#C8102E,#041E42
WSH,#C8102E,#041E42
WSH,#C8102E,#041E42
WSH,#C8102E,#041E42
WSH,#C8102E,#041E42
WSH,#C8102E,#041E42
WSH,#C8102E,#041E42
WSH,#C8102E,#041E42
WSH,#C8102E,#041E42
WSH,#C8102E,#041E42
WSH,#C8102E,#041E42
WSH,#C8102E,#041E42
WSH,#C8102E,#041E42
WSH,#C8102E,#041E42
WSH,#C8102E,#041E42
WPG,#041E42,#55565A
WPG,#041E42,#55565A
WPG,#041E42,#55565A
WPG,#041E42,#55565A
WPG,#041E42,#55565A
WPG,#041E42,#55565A
WPG,#041E42,#55565A
WPG,#041E42,#55565A
WPG,#041E42,#55565A
WPG,#041E42,#55565A
WPG,#041E42,#55565A
WPG,#041E42,#55565A
WPG,#041E42,#55565A
WPG,#041E42,#55565A
WPG,#041E42,#55565A
ARI,#8C2633,#E2D6B5
ARI,#8C2633,#E2D6B5
ARI,#8C2633,#E2D6B5
ARI,#8C2633,#E2D6B5
ARI,#8C2633,#E2D6B5
ARI,#8C2633,#E2D6B5
ARI,#8C2633,#E2D6B5
ARI,#8C2633,#E2D6B5
ARI,#8C2633,#E2D6B5
ARI,#8C2633,#E2D6B5
VGK,#B4975A,#333F42
VGK,#B4975A,#333F42
VGK,#B4975A,#333F42
VGK,#B4975A,#333F42
VGK,#B4975A,#333F42
VGK,#B4975A,#333F42
VGK,#B4975A,#333F42
VGK,#B4975A,#333F42
VGK,#B4975A,#333F42
SEA,#001628,#E9072B
SEA,#001628,#E9072B
SEA,#001628,#E9072B
SEA,#001628,#E9072B
SEA,#001628,#E9072B
UTA,#69B3E7,#FFFFFF
UTA,#69B3E7,#FFFFFF
